44
19
7
16,128,0,0,0,0.5,0.077778,0.66667,0.31111,5.5556,6.8889,6.6667,3.1111,4,3.3333,-7.3333,7.1111,0.56151,-0.98581,0
26,67,0,0.11111,0,1,0.88889,2.4444,3.1852,20,19.5556,25.8889,14.5556,-1.3333,17.6667,-16.3333,25.8889,0.43694,-1.6232,0
14,110,0,0,0,1.7222,5.3519,2.6667,1.0222,17.9259,18.8889,21.4444,13.4444,2.8889,10.5556,-13.4444,21.4444,0.36885,-1.3451,0
11,108,0,0,0,1.3333,0.8,1.3889,0.95185,17.6667,19,21.1111,12.8889,4,10.3333,-14.3333,21.1111,0.38876,-1.3021,0
85,101,0,0,0,1.3333,1.2889,1.2778,1.2185,21.2963,21.2222,26.7778,15.8889,-0.22222,16.4444,-16.2222,26.7778,0.40479,-1.5586,0
18,145,0,0,0,0.38889,0.018518,0.61111,0.37407,3.9259,5.5556,4,2.2222,4.8889,0.22222,-5.1111,5.5556,0.60053,-0.57094,0
23,55,0,0,0,2.2222,3.6741,1.7778,0.78519,23.4444,21.6667,31.1111,17.5556,-5.3333,23,-17.6667,31.1111,0.43507,-1.7712,0
196,129,0,0,0,0.83333,0.43333,0.66667,0.17778,6.3333,7.8889,7.3333,3.7778,4.6667,3,-7.6667,8.2222,0.54012,-0.93278,0
80,116,0,0,0,1.5,1.6333,1.5556,0.87407,21.7037,21.2222,27.5556,16.3333,-1.4444,17.5556,-16.1111,27.5556,0.40736,-1.6322,0
37,78,0,0,0,1,0.17778,2.5556,2.8741,43.8148,41.1111,51.8889,38.4444,-8.1111,24.2222,-16.1111,51.8889,0.25892,-1.8861,1
198,127,0,0,0,2.4444,4.3852,8.5556,59.5408,40.7407,38,48.2222,36,-8.2222,22.4444,-14.2222,48.2222,0.249,-1.9083,0
191,101,0,0,0,1.1111,0.77936,1.1111,1.1863,45.037,39,57.1111,39,-18.1111,36.2222,-18.1111,57.1111,0.32273,-2.0943,0
243,120,0,0,0,4.4444,4.3597,1.5556,1.8338,47.8519,44.7778,56.3333,42.4444,-9.2222,25.4444,-16.2222,56.3333,0.24532,-1.9107,1
