40
18
4
95,48,83,178,72,10,162,42,20,159,176,379,184,70,6,16,187,197,3
91,41,84,141,57,9,149,45,19,143,170,330,158,72,9,14,189,199,3
104,50,106,209,66,10,207,32,23,158,223,635,220,73,14,9,188,196,2
93,41,82,159,63,9,144,46,19,143,160,309,127,63,6,10,199,207,3
91,45,79,176,59,9,163,40,20,148,184,404,179,62,0,10,199,208,2
78,38,63,115,51,6,142,47,19,130,162,299,146,77,2,4,181,185,2
92,38,71,174,66,7,154,43,19,133,181,355,130,70,4,24,189,195,2
98,55,101,228,70,9,210,31,24,168,236,661,245,72,1,6,188,197,1
101,42,62,175,67,6,149,43,19,139,169,341,165,65,7,11,202,209,0
101,56,104,185,53,6,257,26,28,168,275,956,230,83,5,26,180,184,0
95,42,85,174,66,9,153,44,19,144,168,347,150,65,11,5,196,204,3
94,42,68,150,64,7,128,52,18,143,154,246,159,69,14,5,192,196,3
92,38,60,130,62,5,114,58,17,132,135,194,137,72,14,5,190,194,3
102,45,83,198,65,5,194,33,22,146,225,576,167,79,0,27,193,191,0
108,53,103,202,64,10,220,30,25,168,224,711,214,73,11,10,188,199,2
99,46,105,209,64,11,197,34,23,152,212,575,159,65,0,33,194,205,1
89,44,70,137,58,6,136,49,18,146,168,273,166,78,10,3,186,187,3
102,54,106,221,68,11,207,32,24,164,228,638,238,71,0,26,189,200,2
78,36,60,116,56,6,123,55,17,124,141,221,121,78,3,16,178,185,1
91,42,66,169,66,7,145,44,19,140,169,325,159,67,4,0,201,207,0
84,35,53,122,57,4,116,59,17,123,135,196,128,76,10,27,183,190,2
103,46,106,209,66,10,203,33,23,149,217,612,210,70,9,10,191,199,2
100,41,75,205,71,5,176,36,21,138,204,479,151,72,7,19,197,197,0
91,42,81,193,69,5,169,38,20,137,184,434,156,68,3,23,198,204,0
98,45,76,166,60,7,157,42,20,148,184,371,186,69,13,10,190,196,1
101,51,105,212,68,10,209,32,24,162,222,653,224,73,5,23,186,195,1
82,37,59,134,63,7,135,51,18,128,151,264,143,82,11,24,179,185,2
84,45,68,148,64,6,146,46,19,142,168,317,180,75,5,1,183,187,0
89,47,81,156,57,8,161,41,20,149,187,388,197,72,9,15,187,193,1
96,41,77,177,64,5,177,36,21,134,205,485,148,74,0,4,196,198,0
97,45,72,187,71,5,161,40,20,144,178,399,186,70,7,7,196,203,0
97,47,87,164,64,9,156,43,20,149,173,359,182,68,1,13,192,202,3
96,47,77,204,72,6,167,38,20,150,188,429,182,69,6,16,199,203,0
87,43,70,169,72,7,152,44,19,145,177,341,171,76,6,12,184,187,0
93,34,72,144,56,6,133,50,18,123,158,263,125,63,5,20,200,206,2
96,39,58,117,51,6,133,52,18,139,154,255,150,86,6,0,181,182,3
98,48,101,195,61,11,207,31,23,152,227,650,193,71,5,7,189,196,1
89,36,69,162,63,6,140,48,18,131,164,291,126,66,1,38,193,204,2
90,43,81,231,97,46,150,45,19,149,200,332,164,91,5,9,186,196,3
105,52,107,207,60,11,218,31,24,167,221,701,197,66,0,20,191,203,1
